"USER AGENT","SUM Since 17-05-2012",Type,"UA Family","UA Name","UA Version","UA URL","UA Company","UA Company URL","UA Icon","OS Family","OS Name","OS URL","OS Company","OS URL","OS Icon","Device Type","Device Icon","Device Info URL"
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9930; en-US) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.0.0.254 Mobile Safari/534.11+",167,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9850; en-US) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.1.0.163 Mobile Safari/534.11+",162,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9330; en-US) AppleWebKit/534.1+ (KHTML, like Gecko) Version/6.0.0.431 Mobile Safari/534.1+",150,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (compatible; MSIE 9.0; Windows Phone OS 7.5; Trident/5.0; IEMobile/9.0; HTC; Radar 4G)",146,"Mobile Browser","IE Mobile","IE Mobile 9.0",9.0,http://www.microsoft.com/windowsmobile/en-us/downloads/microsoft/internet-explorer-mobile.mspx,"Microsoft Corporation.",http://www.microsoft.com/,iemobile.png,Windows,"Windows Phone 7",http://en.wikipedia.org/wiki/Windows_Phone_7,"Microsoft Corporation.",http://www.microsoft.com/,windowsMobile.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9670; en-US) AppleWebKit/534.8+ (KHTML, like Gecko) Version/6.0.0.706 Mobile Safari/534.8+",144,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9300; en-US) AppleWebKit/534.8+ (KHTML, like Gecko) Version/6.0.0.448 Mobile Safari/534.8+",142,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"NetFront/3.5.1 (BREW 5.0.1.2; U; en-us; LG; NetFront/3.5.1/AMB) Sprint LN510 MMP/2.0 Profile/MIDP-2.1 Configuration/CLDC-1.1",142,"Mobile Browser",NetFront,"NetFront 3.5.1",3.5.1,http://www.access-company.com/,"ACCESS CO.,LTD",http://www.access-company.com/,netfront.png,JVM,"JVM (Platform Micro Edition)","http://en.wikipedia.org/wiki/Java_Platform,_Micro_Edition","Sun Microsystems, Inc.",http://en.wikipedia.org/wiki/Sun_Microsystems,java.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9930; en-US) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.0.0.374 Mobile Safari/534.11+",140,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9700; en-US) AppleWebKit/534.8+ (KHTML, like Gecko) Version/6.0.0.448 Mobile Safari/534.8+",137,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"BlackBerry8520/4.6.1.314 Profile/MIDP-2.0 Configuration/CLDC-1.1 VendorID/102",134,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,/list-of-ua/device-detail?device=Smartphone
"Mozilla/5.0 (compatible; Teleca Q7; Brew 3.1.5; U; en) 320X240 LGE VX9200",132,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown.png,unknown,unknown,unknown,unknown,unknown,unknown.png,"Personal computer",desktop.png,"http://user-agent-string.info/list-of-ua/device-detail?device=Personal computer"
"Mozilla/5.0 (BlackBerry; U; BlackBerry 9330; en-US) AppleWebKit/534.1+ (KHTML, like Gecko) Version/6.0.0.415 Mobile Safari/534.1+",131,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"BlackBerry9630/5.0.0.591 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/105",129,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,/list-of-ua/device-detail?device=Smartphone
"LGE-MN240/1.0 UP.Browser/6.2.3.8 (GUI) MMP/2.0",129,"Mobile Browser","Openwave Mobile Browser","Openwave Mobile Browser 6.2.3.8",6.2.3.8,http://www.openwave.com/,"Openwave Systems Inc.",http://www.openwave.com/,openwave.png,unknown,unknown,unknown,unknown,unknown,unknown.png,Smartphone,phone.png,http://user-agent-string.info/list-of-ua/device-detail?device=Smartphone
"BlackBerry9330/5.0.0.857 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/105",128,"Mobile Browser","BlackBerry Browser","BlackBerry Browser",unknown,http://www.blackberry.com/,"Research In Motion Limited",http://www.rim.com/,blackberry.png,"BlackBerry OS","BlackBerry OS",http://en.wikipedia.org/wiki/BlackBerry_OS,"BlackBerry Ltd",http://www.blackberry.com/,rim_os.png,Smartphone,phone.png,/list-of-ua/device-detail?device=Smartphone
